,id,Venue,Locality,Sector,Venue Latitude,Venue Longitude,Local Latitude,Local Longitude,Distance
3377,4fd73319e4b0471859b45fd4,Wich l@tte,Thakur Village,North,19.210714480410132,72.8760865322607,19.2097189,72.8759248,111.92818982653081
2659,519b936f498e521b16c9192f,Honey Hut,Versova,West,19.129420709831354,72.82200347719848,19.13025205,72.8213774957082,113.37467141270457
2580,4e109223ae602afe96b554ed,Cafe Alfa,Cama Road,West,19.119666991815816,72.84355993227075,19.120651300000002,72.8438656,113.99243350664169
756,4da5dc994b2280544b6620b4,Sagar Resturant,Nagpada,South,18.96723362545947,72.82806209518525,18.9681782,72.82860090000001,119.26479149431196
1497,4db4490c93a017099dd57dd5,"Central Peninsula, Sion",Sion East,West,19.042685675523394,72.86422503008679,19.0428153,72.8653563,119.70278197072773
929,4e15a9fa1495a0bf95395b2a,Warden bakery,Jacob Circle,South,18.98017998565913,72.82611758369148,18.9810531,72.82678629995553,119.79907604112182
1564,4dc14d06c65b268b41d7f5dd,Oven Hot,Chembur West,East,19.05710137319132,72.89821565603656,19.0571098,72.8993875,123.08789768295082
1479,4dd8c97fe4cd37c893cda159,Peninsula Next,Sion East,West,19.041875480784487,72.86468871275761,19.0428153,72.8653563,125.79691660976071
2256,4bbe02a78a4fb713eaad3d9d,Temple Flower Restaurant,Juhu,West,19.1068789826273,72.82633724757417,19.1070215,72.8275275,125.9796837389381
3493,50b874d2e4b0a653ad6f67ba,Godwa,Borivali West,North,19.228332274571244,72.84776021857016,19.2294561,72.84799050000001,127.20118477082005
3316,504f0922e4b0bee6c42a6ef9,Crazy Soda.,Kandivli (West),North,19.20109355381967,72.84743712220052,19.2006415,72.84855340000001,127.46248411314787
855,50478f4ee4b0d83252ae969e,Shagun,Mumbai Central,South,18.968815265636696,72.8202435647751,18.9695855,72.8193152,129.78606999546042
3273,4b0587dbf964a52072a422e3,Malwani Kalwan,Orlem,North,19.194104035754034,72.83778127300366,19.1944819,72.8389662,131.25317427486237
60,58b6d8957d0f6d1bd9e7edb8,Pa Pa Ya (Colaba),Henry Road,South,18.921456,72.832337,18.9203617,72.8318368,132.48541508501248
2802,4d7a4ca2e8b7a1cd776f951f,Spice Of China,Poonam Nagar,West,19.13772502638862,72.87007282834688,19.136917800000003,72.869128,133.73723021476465
2272,4c62e39f4be3b7130fe8e1e8,cafe coffee day,Juhu,West,19.106905362129456,72.82624755484775,19.1070215,72.8275275,135.01648471434794
1455,4c3b2ee35810a5934f33ba3c,Jaffer Bhai's Delhi Darbar,Mahim,West,19.041456398886584,72.8407486646235,19.0423145,72.8398344,135.3375233426644
